Timestamp,Temperature (C),Humidity (%),Status
2026-02-13 14:38:38,18.19,50.92,Optimal
2026-02-13 14:38:51,15.66,38.29,Warning
2026-02-13 14:41:27,24.55,47.51,Optimal
2026-02-13 14:43:49,29.84,58.36,Warning
2026-02-13 14:46:25,21.78,44.46,Optimal
2026-02-13 14:46:35,15.91,51.14,Optimal
2026-02-13 14:46:41,27.37,37.43,Hot
2026-02-13 14:46:49,30.08,56.47,Hot
2026-02-13 14:47:33,29.3,36.1,Hot
2026-02-13 14:48:41,33.64,46.75,Hot
2026-02-13 14:48:53,18.09,31.01,Optimal
2026-02-13 14:49:28.258076,27.34,60.0,Hot
2026-02-13 14:49:57,30.49,31.61,Hot
2026-02-13 14:50:26,18.03,49.07,Optimal
2026-02-13 14:50:54,21.15,46.86,Optimal
2026-02-13 14:53:16,25.38,37.83,Hot
2026-02-13 14:57:12,34.05,33.83,Hot
